,category,filename,title,content
0,business,001.txt,Ad sales boost Time Warner profit,quarterly profit medium giant timewarner jumped 113bn £600m three month december 639m yearearlier firm biggest investor google benefited sale highspeed internet connection higher advert sale timewarner said fourth quarter sale rose 111bn 109bn profit buoyed oneoff gain offset profit warner bros le user time warner said friday owns searchengine google internet business mixed fortune lost 464000 subscriber fourth quarter profit lower preceding three quarter however company said aols underlying profit exceptional item rose back stronger internet advertising revenue hope increase subscriber offering online service free timewarner internet customer sign aols existing customer highspeed broadband timewarner also restate 2000 2003 result following probe security exchange commission close concluding time warner fourth quarter profit slightly better analyst expectation film division profit slump 284m helped boxoffice flop alexander catwoman sharp contrast yearearlier third final film lord ring trilogy boosted result fullyear timewarner posted profit 336bn 2003 performance revenue grew 4209bn financial performance strong meeting exceeding fullyear objective greatly enhancing flexibility chairman chief executive richard parson said 2005 timewarner projecting operating earnings growth around also expects higher revenue wider profit margin timewarner restate account part effort resolve inquiry market regulator already offered 300m settle charge deal review company said unable estimate amount needed aside legal reserve previously 500m intends adjust account deal german music publisher bertelsmanns purchase stake europe reported advertising revenue book sale stake europe loss value stake
1,business,002.txt,Dollar gains on Greenspan speech,dollar highest level euro almost three month federal reserve head said trade deficit stabilise alan greenspan highlighted government willingness curb spending rising household saving factor help reduce late trading york dollar reached 12871 euro 12974 thursday market concern deficit greenback recent month friday federal reserve chairman greenspans speech london ahead meeting finance minister sent dollar higher earlier tumbled back worsethanexpected job data think chairman taking much sanguine view current account deficit taken time said robert sinche head currency strategy bank america york taking longerterm view laying condition current account deficit improve year next worry deficit concern china however remain china currency remains pegged dollar currency sharp fall recent month therefore made chinese export price highly competitive call shift beijing policy fallen deaf ear despite recent comment major chinese newspaper time ripe loosening meeting thought unlikely produce meaningful movement chinese policy meantime federal reserve decision february boost interest rate quarter point sixth move many month opened differential european rate halfpoint window believe could enough keep asset looking attractive could help prop dollar recent fall partly result budget deficit well yawning current account need funded buying bond asset foreign firm government white house announce budget monday many commentator believe deficit remain close half trillion dollar
2,business,003.txt,Yukos unit buyer faces loan claim,owner embattled russian giant yukos buyer former production unit back 900m £479m loan stateowned rosneft bought yugansk unit 93bn sale forced russia part settle 275bn claim yukos yukos owner menatep group say rosneft repay loan yugansk secured asset rosneft already face similar 540m repayment demand foreign bank legal expert said rosnefts purchase yugansk would include obligation pledged asset rosneft real money creditor avoid seizure yugansk asset said moscowbased lawyer jamie firestone connected case menatep group managing director osborne told reuters news agency default fight rule exists international arbitration clause credit rosneft official unavailable comment company said intends take action menatep recover claim debt owed yugansk yukos filed bankruptcy protection court attempt prevent forced sale main production sale went ahead december yugansk sold littleknown shell company turn bought rosneft yukos claim downfall punishment political ambition founder mikhail khodorkovsky vowed participant sale
3,business,004.txt,High fuel prices hit BA's profits,british airway blamed high fuel price drop profit reporting result three month december 2004 airline made pretax profit £75m 141m compared £125m year earlier eddington chief executive said result respectable third quarter fuel cost rose £106m profit still better market expectation £59m expects rise fullyear revenue help offset increased price aviation fuel last year introduced fuel surcharge passenger october increased oneway longhaul flight shorthaul surcharge raised £250 aviation analyst mike powell dresdner kleinwort wasserstein say estimated annual surcharge revenue £160m still short additional fuel cost predicted extra £250m turnover quarter £197bn benefiting rise cargo revenue looking ahead full year result march 2005 warned yield average revenue passenger expected decline continues lower price face competition lowcost carrier however said sale would better previously forecast year march 2005 total revenue outlook slightly better previous guidance improvement anticipated chairman martin broughton said previously forecast rise fullyear revenue also reported friday passenger number rose january aviation analyst nick brul paribas described latest quarterly result pretty modest quite good revenue side show impact fuel surcharge positive cargo development however operating margin cost impact fuel strong said since september 2001 attack united state 13000 job part major costcutting drive focus remains reducing controllable cost debt whilst continuing invest product eddington said example taken delivery airbus a321 aircraft next month start improvement club world flat bed share closed four penny 2745 penny
4,business,005.txt,Pernod takeover talk lifts Domecq,share drink food firm allied domecq risen speculation could target takeover france pernod ricard report wall street journal financial time suggested french spirit firm considering contact target allied domecq share london rose 1200 pernod share paris slipped pernod said seeking acquisition refused comment specific pernod last major purchase third giant seagram 2000 move propelled global three drink firm twothirds seagram bought market leader diageo term market value pernod 75bn euro 97bn smaller allied domecq capitalisation £57bn 107bn 82bn euro last year pernod tried glenmorangie scotland premier whisky firm lost luxury good firm lvmh pernod home brand including chivas regal scotch whisky havana club jacob creek wine allied domecqs name include malibu courvoisier brandy stolichnaya vodka ballantines whisky well snack food chain dunkin donut baskinrobbins cream said ripe consolidation dealt problematic part portfolio pernod reduced debt took fund seagram purchase 18bn euro allied improved performance fastfood chain
5,business,006.txt,Japan narrowly escapes recession,japan economy teetered brink technical recession three month september figure show revised figure indicated growth similarsized contraction previous quarter annual basis data suggests annual growth suggesting much hesitant recovery previously thought common technical definition recession successive quarter negative growth government keen play worrying implication data maintain view japan economy remains minor adjustment phase upward climb monitor development carefully said economy minister heizo takenaka face strengthening making export le competitive indication weakening economic condition ahead observer le sanguine painting picture recovery much patchier previously thought said paul sheard economist lehman brother tokyo improvement market apparently feed domestic demand private consumption third quarter
6,business,007.txt,Jobs growth still slow in the US,created fewer job expected january fall jobseekers pushed unemployment rate lowest level three year according labor department figure firm added 146000 job january gain nonfarm payroll market expectation 190000 job nevertheless enough push unemployment rate lowest level since september 2001 gain mean president bush celebrate albeit fine margin growth job economy first term office presided fall job last november presidential election first president since herbert hoover result creation became issue last year election however adding december january figure administration first term job record ended positive territory labor department also said revised job gain december 2004 157000 133000 analyst said growth job strong could expected given favourable economic condition suggests employment continuing expand moderate pace said rick egelton deputy chief economist financial group getting boost employment would given value dollar still relatively interest rate environment economy producing moderate satisfying amount growth said mayland president clearview economics mean limited number opportunity worker
7,business,008.txt,India calls for fair trade rules,india attends meeting seven leading industrialised nation friday unlikely cowed newcomer status london thursday ahead meeting india finance minister lashed restrictive trade policy nation objected subsidy agriculture make hard developing nation like india compete also called reform united nation world bank palaniappan chidambaram india finance minister argued organisation need take account changing world order given india china integration global economy said issue globalisation term engagement globalisation chidambaram attending meeting part group nation account third world population conference developing enterprise hosted finance minister gordon brown friday said favour floating exchange rate help country cope economic shock flexible exchange rate channel absorbing positive negative shock told conference india along china brazil south africa russia invited take part meeting taking place london friday saturday china expected face renewed pressure abandon fixed exchange rate nation particular blamed surge cheap chinese export country tried fixed exchange rate wish make judgement chidambaram said separately warned thursday india budget deficit large would hamper country economic growth forecast around year march 2005 year march 2004 indian economy grew
8,business,009.txt,Ethiopia's crop production up 24%,ethiopia produced 1427 million tonne crop 2004 higher 2003 average past five year report say 2003 crop production totalled 1149 million tonne joint report food agriculture organisation world food programme said good rain increased fertilizer improved seed contributed rise production nevertheless million ethiopian still need emergency assistance report calculated emergency food requirement 2005 387500 tonne 89000 tonne fortified blended food vegetable targeted supplementary food distribution survival programme child five pregnant lactating woman needed eastern southern ethiopia prolonged drought killed crop drained well last year total 965000 tonne food assistance needed help seven million ethiopian food agriculture organisation recommend food assistance bought locally local purchase cereal food assistance programme recommended possible assist domestic market farmer said henri josserand chief fao global information early warning system agriculture main economic activity ethiopia representing gross domestic product ethiopian depend directly indirectly agriculture
9,business,010.txt,Court rejects $280bn tobacco case,government claim accusing country biggest tobacco company covering effect smoking thrown appeal court demand 280bn £155bn filed clinton administration 1999 rejected decision court washington found case could brought federal antiracketeering law among accused altria group reynolds tobacco lorillard tobacco liggett group brown williamson case government claimed tobacco firm manipulated nicotine level increase addiction targeted teenager multibillion dollar advertising campaign lied danger smoking ignored research contrary prosecutor wanted cigarette firm surrender 280bn profit accumulated past year impose tougher rule marketing product court appeal district columbia ruled government could firm legislation drawn counteract mafia infiltration business tobacco company deny illegally conspired promote smoking defraud public also already many government demand landmark 206bn settlement reached state 1998 share tobacco company closed higher ruling altria rising reynolds showing gain
10,business,011.txt,Ask Jeeves tips online ad revival,jeeves become third leading online search firm week thank revival internet advertising improving fortune firm revenue nearly tripled fourth quarter 2004 exceeding £46m jeeves among bestknown name relatively modest player profit quarter dwarfed 204m announced rival google earlier week quarter yahoo earned 187m tipping resurgence online advertising trend taken hold relatively quickly late last year marketing company doubleclick leading provider online advertising warned business would sale thursday announced sharp turnaround brought unexpected increase profit neither jeeves doubleclick thrilled investor profit news however case share fell analyst attributed fall excessive expectation quarter fuelled dramatic outperformance google tuesday
11,business,012.txt,Indonesians face fuel price rise,indonesia government confirmed considering raising fuel price much million indonesian kerosene basic cooking price heavily subsidised year president susilo bambang yudhoyonos government said want curb fuel subsidy direct money programme poor critic argue cutting subsidy hurt poorer family government say want help million people left homeless indonesia acehs region following earthquake tsunami disaster late december indonesia pay subsidy importer order stabilise domestic fuel price higher price forced government spend holding price spent trillion rupiah 658bn £35bn fuel subsidy 2004 excess original projection trillion rupiah since president yudhoyonos government came power october indicated intention raising domestic fuel price cutting subsidy january march quarter year best time increase fuel price said mulyani indrawati state minister national development planning still considering hike suitable moment sooner better state budget bbcs correspondent jakarta rachel harvey told world business report likely strong public reaction price rise question whether short sharp shock raise price whether stagger said indonesia previous government president megawati sukarnoputri also attempted subsidy 2003 forced back face public protest
12,business,013.txt,Peugeot deal boosts Mitsubishi,struggling japanese maker mitsubishi motor struck deal supply french maker peugeot 30000 sport utility vehicle firm signed memorandum understanding expect seal final agreement spring 2005 alliance come badlyneeded boost lossmaking mitsubishi several profit warning poor sale suv built japan using peugeots diesel engine sold mainly european market falling sale left mitsubishi motor underused capacity production deal peugeot give chance utilise january mitsubishi motor issued third profit warning nine month sale forecast year march 2005 sale slid past year catalysed revelation company systematically hiding record fault secretly repairing vehicle result japanese maker sought series financial bailouts last month said looking 540bn 52bn £277bn fresh financial backing half company mitsubishi group usgerman carmaker daimlerchrylser shareholder mitsubishi motor decided april 2004 pump money deal peugeot celebrated mitsubishis newlyappointed chief executive takashi nishioka took three boss stood last month shoulder responsibility firm trouble mitsubishi motor forecast loss 472bn current financial year march 2005 last month signed production agreement japanese rival nissan motor supply 36000 small car sale japan making car nissan since 2003
